구,동내,단지명,동,계약년월,계약일,거래금액(만원),등기일자
제주시,건입동,동문파크빌,-,202411,2,21000,-
제주시,아라일동,아라아이파크,102,202411,2,76500,24.12.03
제주시,건입동,동문파크빌,-,202411,2,21000,24.12.23
제주시,한림읍,제주한림코아루,102동,202411,2,29400,24.11.29
제주시,외도일동,한울아파트,-,202411,2,30100,25.02.13
제주시,삼양이동,제주삼화사랑으로부영5차,501,202411,1,46800,25.01.07
제주시,도련이동,제주삼화사랑으로부영1차,104,202411,1,47200,25.01.31
제주시,화북일동,화북주공1단지,화북1아파트 101동,202411,1,45000,25.01.17
제주시,오라이동,미듬아뜨리에,-,202411,1,23300,-
제주시,오라이동,미듬아뜨리에,-,202411,1,23300,25.03.25
제주시,아라일동,염광,4,202411,1,21000,24.12.10
제주시,화북이동,제주삼화사랑으로부영2차,209,202410,31,52800,24.11.08
제주시,노형동,한화,102,202410,31,94000,25.01.31
제주시,연동,제주세기,-,202410,31,36000,-
제주시,노형동,부영2차,202,202410,31,31500,25.01.24
제주시,화북이동,제주삼화엘에이치2단지,202,202410,31,61300,24.12.09
제주시,화북이동,제주삼화사랑으로부영2차,-,202410,31,52800,-
제주시,외도일동,외도부영1차,105,202410,30,25000,24.10.30
제주시,이도이동,대원,-,202410,30,16000,24.11.22
제주시,연동,진호뉴캐슬,-,202410,30,22000,24.12.02
제주시,일도이동,일도월드하우스,1,202410,29,28100,24.12.27
제주시,이도일동,이도네오하임,-,202410,29,33000,24.12.02
제주시,애월읍,제웅명당,-,202410,28,22000,24.12.19
제주시,노형동,동덕,-,202410,28,17800,-
제주시,연동,청목더웰연동,-,202410,28,9200,24.11.18
제주시,아라일동,염광,4,202410,28,19500,24.11.06
제주시,애월읍,제주하귀휴먼시아2단지,204,202410,28,44000,25.02.17
제주시,연동,삼오한마음,-,202410,27,18000,24.12.06
제주시,이도이동,주공1,111,202410,27,42500,25.03.05
제주시,외도일동,외도부영1차,106,202410,27,24500,24.11.18
제주시,아라일동,아라스위첸,103,202410,26,83000,25.01.23
제주시,노형동,부영2차,203,202410,26,34700,24.11.07
제주시,노형동,부영3차,304,202410,26,70000,24.12.19
제주시,이도이동,이도한우리,-,202410,26,35000,25.02.28
제주시,이도이동,이도재영샤르빌,-,202410,26,35000,24.12.05
제주시,아라일동,아라스위첸,104,202410,26,73000,24.11.25
제주시,외도일동,부영(2차),부영아파트 203,202410,26,46900,24.12.27
제주시,노형동,지산11차위더스빌,-,202410,25,36500,25.02.03
제주시,노형동,부영5차,503,202410,25,65000,25.02.28
제주시,용담이동,한라,한라아파트,202410,25,8500,24.10.31
제주시,외도일동,대원상록수11차아파트,-,202410,24,37200,-
제주시,연동,연동엘리트빌,-,202410,24,23500,25.01.15
제주시,연동,이레빌,-,202410,24,5360,24.12.18
제주시,연동,이레빌,-,202410,24,5516,24.11.26
