NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1311,제주특별자치도 제주시 조천읍 조천리,Jan-45,2645,1,일이삼타운,69.3757,202403,24,"22,100",-,3,개인,법인,2017,조천북2길 28,20240408,중개거래,제주 제주시,-
1312,제주특별자치도 제주시 조천읍 조천리,Jan-45,2645,1,일이삼타운,69.3757,202403,24,"22,100",-,3,개인,법인,2017,조천북2길 28,-,중개거래,제주 제주시,24.04.26
1313,제주특별자치도 제주시 애월읍 하귀1리,166-1,166,1,제주하귀휴먼시아2단지,84.85,202403,23,"42,000",206,7,개인,개인,2010,하귀9길 71,-,중개거래,제주 제주시,24.06.24
1314,제주특별자치도 제주시 삼양이동,2318,2318,0,제주삼화사랑으로부영3차,66.4409,202403,23,"48,000",309,10,개인,개인,2013,화삼로 167,-,중개거래,제주 제주시,24.05.21
1315,제주특별자치도 제주시 일도이동,371,371,0,삼화,84.99,202403,23,"24,000",나,7,개인,개인,1992,천수동로 2,-,직거래,-,24.04.22
1316,제주특별자치도 제주시 이호이동,1046,1046,0,이호휴캐슬,81.228,202403,23,"29,900",-,3,개인,개인,2017,오광로 65,-,중개거래,제주 제주시,24.05.24
1317,제주특별자치도 제주시 일도이동,371,371,0,삼화,84.99,202403,23,"24,000",나,7,개인,개인,1992,천수동로 2,-,직거래,-,24.04.22
1318,제주특별자치도 제주시 애월읍 하귀1리,166-1,166,1,제주하귀휴먼시아2단지,84.85,202403,23,"42,000",-,7,개인,개인,2010,하귀9길 71,20240615,중개거래,제주 제주시,-
1319,제주특별자치도 제주시 일도이동,113-5,113,5,일도2차대림,77.02,202403,22,"43,000",201,2,개인,개인,1995,태성로 39,-,직거래,-,24.03.29
1320,제주특별자치도 제주시 일도이동,133-9,133,9,전원아트빌(2차),94.045,202403,22,"14,100",-,7,개인,개인,2004,동문로 132,-,직거래,-,24.03.22
1321,제주특별자치도 제주시 연동,1399,1399,0,대림이편한세상1차,75.014,202403,22,"65,000",106,12,개인,개인,2001,국기로 14,-,직거래,-,24.04.08
1322,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202403,22,"20,000",103,10,개인,개인,2000,우정로11길 22,-,직거래,-,24.03.22
1323,제주특별자치도 제주시 도남동,82,82,0,도남시영,46.26,202403,21,"10,000",에이,2,개인,개인,1990,도남로 75-6,-,중개거래,제주 제주시,24.03.26
1324,제주특별자치도 제주시 건입동,940-3,940,3,현대,84.18,202403,21,"32,500",103,1,개인,개인,1993,만덕로3길 26,-,중개거래,제주 제주시,24.04.08
1325,제주특별자치도 제주시 외도일동,463-5,463,5,에르빌아파트1차,80.32,202403,21,"31,700",-,6,개인,개인,2017,우령6길 15-11,-,중개거래,제주 제주시,24.08.27
1326,제주특별자치도 제주시 외도일동,463-5,463,5,에르빌아파트1차,80.32,202403,21,"31,700",-,6,개인,개인,2017,우령6길 15-11,20240714,중개거래,제주 제주시,-
1327,제주특별자치도 제주시 오라이동,1373-1,1373,1,회성푸르니3차,84.785,202403,21,"35,000",-,6,개인,개인,2013,연사길 60,-,직거래,-,24.12.19
1328,제주특별자치도 제주시 연동,280-24,280,24,라이오니파크1차,46.0331,202403,21,"21,500",-,3,개인,법인,2018,신대로8길 34,-,중개거래,제주 제주시,24.05.10
1329,제주특별자치도 제주시 연동,280-24,280,24,라이오니파크1차,46.0331,202403,21,"21,500",-,3,개인,법인,2018,신대로8길 34,20240513,중개거래,제주 제주시,-
1330,제주특별자치도 제주시 용담삼동,541-4,541,4,용담이타스,84.64,202403,20,"25,800",-,6,개인,개인,2012,용담로1길 18,-,중개거래,제주 제주시,24.03.20
1331,제주특별자치도 제주시 외도일동,529-4,529,4,외도에이스아크로빌2차,84.98,202403,20,"31,000",-,9,개인,개인,2010,우정로7길 24,-,중개거래,제주 제주시,24.05.27
1332,제주특별자치도 제주시 연동,Jul-25,2325,7,연동한일씨티파크,84.8573,202403,20,"45,000",-,17,개인,개인,2014,도령로 103,-,직거래,-,24.04.01
1333,제주특별자치도 제주시 조천읍 신촌리,Feb-34,1934,2,로잔팰리스,83.845,202403,20,"31,500",-,4,개인,개인,2017,신북로 97-1,-,중개거래,제주 제주시,24.05.16
1334,제주특별자치도 제주시 일도일동,1105-1,1105,1,남안,84.01,202403,20,"27,000",-,2,개인,개인,2012,동문로6길 14,-,직거래,-,24.04.12
1335,제주특별자치도 제주시 연동,276-3,276,3,청목더웰연동,17.6127,202403,20,"8,500",-,7,개인,법인,2018,연동8길 28,-,직거래,-,24.03.20
1336,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,101.8684,202403,20,"57,500",215동,5,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,24.06.07
1337,제주특별자치도 제주시 외도일동,549-5,549,5,대원상록수11차아파트,84.92,202403,20,"34,200",-,5,개인,개인,2016,우정로15길 1,-,중개거래,제주 제주시,24.04.23
1338,제주특별자치도 제주시 용담삼동,505,505,0,용두암현대1,83.55,202403,20,"25,000",-,4,개인,개인,1991,용담로5길 25,-,중개거래,제주 제주시,-
1339,제주특별자치도 제주시 외도일동,492-20,492,20,더펠리스1차,84.6965,202403,20,"37,000",-,9,개인,개인,2014,우정로10길 29,-,중개거래,제주 제주시,24.07.24
1340,제주특별자치도 제주시 연동,Mar-15,2315,3,제일(가동),70.83,202403,20,"14,800",가동,2,개인,개인,1991,도령북길 8,-,중개거래,제주 제주시,24.04.12
1341,제주특별자치도 제주시 애월읍 하귀1리,166-1,166,1,제주하귀휴먼시아2단지,84.84,202403,20,"40,000",205,3,개인,개인,2010,하귀9길 71,-,중개거래,제주 제주시,24.04.26
1342,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,59.2517,202403,19,"22,500",104,2,개인,개인,2006,함덕30길 27,-,중개거래,제주 제주시,24.04.24
1343,제주특별자치도 제주시 이도이동,1034-3,1034,3,TS주상복합빌딩,34.44,202403,19,"7,800",-,4,개인,개인,2010,중앙로 261-1,-,직거래,-,24.03.19
1344,제주특별자치도 제주시 연동,1399-1,1399,1,대림이편한세상2차,119.296,202403,19,"113,000",203,13,개인,개인,2002,연화로 25,-,중개거래,제주 제주시,24.04.19
1345,제주특별자치도 제주시 도남동,78,78,0,영산홍,59.94,202403,19,"20,500",가,1,개인,개인,1992,도남로17길 32,-,직거래,-,24.12.20
1346,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.84,202403,19,"43,750",108,11,개인,법인,2010,하귀9길 45,-,중개거래,제주 제주시,24.04.30
1347,제주특별자치도 제주시 외도일동,492-20,492,20,더펠리스1차,84.9136,202403,19,"34,800",-,8,개인,개인,2014,우정로10길 29,-,중개거래,제주 제주시,24.04.18
1348,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202403,19,"31,000",203,6,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,24.05.10
1349,제주특별자치도 제주시 연동,308-6,308,6,아델하임,84.5,202403,18,"37,000",-,4,개인,개인,2012,신대로 161,-,중개거래,제주 제주시,24.04.24
1350,제주특별자치도 제주시 한림읍 옹포리,283,283,0,한림오션캐슬아파트,72.673,202403,18,"27,500",103동,7,개인,개인,2018,한림로 554,-,중개거래,제주 제주시,24.05.10
1351,제주특별자치도 제주시 이도일동,1380,1380,0,극동행복그린,84.9233,202403,18,"35,500",-,11,개인,개인,2016,관덕로8길 11,-,중개거래,제주 제주시,24.04.08
1352,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.98,202403,18,"59,500",216,3,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,24.04.04
1353,제주특별자치도 제주시 노형동,1040-1,1040,1,삼환3차,76.7,202403,18,"25,000",-,4,개인,개인,1998,월랑북길 18,-,직거래,-,24.04.01
1354,제주특별자치도 제주시 외도일동,449-1,449,1,제웅1차솔내음빌리지,39.3,202403,18,"10,700",-,4,개인,개인,2011,우정로 17,-,중개거래,제주 제주시,24.04.02
1355,제주특별자치도 제주시 삼도일동,552-3,552,3,대명2차꿈의고향,84.97,202403,17,"28,000",-,7,개인,개인,2004,서광로19길 4,-,중개거래,제주 제주시,24.04.15
1356,제주특별자치도 제주시 연동,309,309,0,남경하이빌,83.72,202403,17,"27,000",-,4,개인,개인,2003,신대로 151,-,중개거래,제주 제주시,24.04.24
1357,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202403,16,"31,500",화북2아파트209,7,개인,개인,1998,동화로1길 39,-,중개거래,제주 제주시,24.04.22
1358,제주특별자치도 제주시 연동,277-5,277,5,제웅솔내음,23.853,202403,16,"5,900",-,7,개인,개인,2012,신대로20길 45,-,중개거래,제주 제주시,24.04.11
1359,제주특별자치도 제주시 노형동,732-1,732,1,해오름,59.56,202403,16,"52,000",103,6,개인,개인,2001,연화로 16,-,중개거래,제주 제주시,24.04.29
1360,제주특별자치도 제주시 일도이동,132-43,132,43,일도세원멤버스(2차),79.56,202403,16,"35,500",-,5,개인,개인,2018,고마로5길 5,-,중개거래,제주 제주시,24.05.20
1361,제주특별자치도 제주시 오라이동,1373-1,1373,1,회성푸르니3차,84.785,202403,15,"35,000",-,4,개인,법인,2013,연사길 60,-,직거래,-,24.03.15
1362,제주특별자치도 제주시 이도이동,324-21,324,21,동인미노스빌,166.61,202403,14,"35,500",-,4,개인,법인,2002,가령골길 47,-,중개거래,제주 제주시,24.06.07
1363,제주특별자치도 제주시 연동,306,306,0,제주연동중흥S-클래스,38.9956,202403,14,"22,586",-,8,개인,법인,2020,신대로 160,-,중개거래,제주 제주시,24.05.31
1364,제주특별자치도 제주시 화북이동,5762,5762,0,화북세원멤버스,78.7651,202403,14,"36,000",-,7,개인,법인,2023,거로남4길 28,-,직거래,-,24.03.14
1365,제주특별자치도 제주시 도남동,811,811,0,도남해모로리치힐아파트,74.976,202403,14,"65,500",107동,8,개인,개인,2019,도남서길 14,-,중개거래,제주 제주시,24.07.30
1366,제주특별자치도 제주시 연동,May-25,2325,5,장원타운,155.38,202403,14,"50,000",장원타운아파트,15,개인,개인,2003,성신로1길 18,-,중개거래,제주 제주시,24.04.05
1367,제주특별자치도 제주시 연동,253-36,253,36,연동백강스위트엠I,84.81,202403,14,"56,000",-,11,개인,개인,2021,연동4길 12-12,20240508,중개거래,제주 제주시,-
1368,제주특별자치도 제주시 연동,253-36,253,36,연동백강스위트엠I,84.81,202403,14,"56,000",연동 백강스위트엠Ⅰ,11,개인,개인,2021,연동4길 12-12,-,중개거래,제주 제주시,24.05.14
1369,제주특별자치도 제주시 애월읍 하귀1리,166-1,166,1,제주하귀휴먼시아2단지,84.85,202403,14,"44,000",202,5,개인,개인,2010,하귀9길 71,-,중개거래,제주 제주시,24.06.07
1370,제주특별자치도 제주시 외도일동,448-1,448,1,외도타워,84.7576,202403,13,"34,500",-,2,개인,개인,2013,절물2길 8-7,20240321,중개거래,제주 제주시,-
1371,제주특별자치도 제주시 외도일동,448-1,448,1,외도타워,84.7576,202403,13,"34,500",-,2,개인,개인,2013,절물2길 8-7,-,중개거래,제주 제주시,24.04.05
1372,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,59.933,202403,13,"23,000",104,8,개인,개인,2000,우정로11길 22,-,직거래,-,24.03.29
1373,제주특별자치도 제주시 이도이동,324-21,324,21,동인미노스빌,153.29,202403,13,"30,000",-,5,개인,개인,2002,가령골길 47,-,직거래,-,24.03.13
1374,제주특별자치도 제주시 삼도이동,300-4,300,4,미듬아뜨리에,84.7042,202403,13,"30,700",미듬아뜨리에 103,4,개인,개인,2006,중앙로26길 25,-,중개거래,제주 제주시,24.04.22
1375,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.84,202403,13,"43,000",104,3,개인,개인,2010,하귀9길 45,-,중개거래,제주 제주시,24.04.29
1376,제주특별자치도 제주시 도련일동,1789-2,1789,2,미듬하나로(도련),53.0916,202403,13,"16,200",미듬하나로아파트 다동,7,개인,개인,2002,삼봉로 115-1,-,중개거래,제주 제주시,24.04.26
1377,제주특별자치도 제주시 도남동,71,71,0,수선화(71),39.75,202403,13,"11,000",-101,5,개인,개인,1993,도남로17길 20,-,직거래,-,24.03.13
1378,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202403,12,"21,800",101,7,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,24.04.30
1379,제주특별자치도 제주시 외도일동,494-2,494,2,더펠리스11차,84.8657,202403,12,"48,000",-,9,개인,법인,2023,우령6길 27,-,중개거래,제주 제주시,24.03.27
1380,제주특별자치도 제주시 삼도이동,300-4,300,4,미듬아뜨리에,84.7042,202403,12,"34,000",미듬아뜨리에 101,3,개인,개인,2006,중앙로26길 25,-,중개거래,제주 제주시,24.04.22
1381,제주특별자치도 제주시 건입동,940-3,940,3,현대,84.18,202403,12,"35,000",103,1,개인,개인,1993,만덕로3길 26,-,중개거래,제주 제주시,24.04.11
1382,제주특별자치도 제주시 노형동,753-1,753,1,중흥에스클래스,84.9963,202403,12,"67,000",102,11,개인,개인,2003,한라대학로 107,-,중개거래,제주 제주시,24.05.07
1383,제주특별자치도 제주시 삼양이동,2333,2333,0,제주삼화사랑으로부영5차,84.3616,202403,11,"50,500",514,2,개인,개인,2013,화삼로 166,-,중개거래,제주 제주시,24.03.26
1384,제주특별자치도 제주시 일도이동,113,113,0,일도우성1,59.44,202403,11,"32,000",-,1,개인,개인,1995,태성로 3,-,중개거래,제주 제주시,-
1385,제주특별자치도 제주시 용담삼동,505,505,0,용두암현대1,83.55,202403,11,"28,300",102,7,개인,개인,1991,용담로5길 25,-,중개거래,제주 제주시,24.04.05
1386,제주특별자치도 제주시 삼양이동,Feb-35,2135,2,삼양더힐링빌,29.78,202403,11,"12,000",-,3,개인,개인,2016,설촌로2길 30,-,중개거래,제주 제주시,24.05.16
1387,제주특별자치도 제주시 애월읍 하귀2리,1437,1437,0,하귀코아루오션뷰,84.9619,202403,11,"30,000",103동,5,개인,개인,2018,항몽로 7,-,직거래,-,24.03.11
1388,제주특별자치도 제주시 외도일동,534-1,534,1,갤럭시타운,67.7146,202403,11,"26,000",-,6,개인,개인,2013,우령서로 57,-,중개거래,제주 제주시,24.05.29
1389,제주특별자치도 제주시 노형동,732-1,732,1,해오름,59.56,202403,11,"48,000",105,1,개인,개인,2001,연화로 16,-,중개거래,제주 제주시,24.04.18
1390,제주특별자치도 제주시 애월읍 하귀2리,1437,1437,0,하귀코아루오션뷰,84.9619,202403,9,"36,500",104동,5,개인,개인,2018,항몽로 7,-,중개거래,제주 제주시,24.04.30
1391,제주특별자치도 제주시 노형동,753-1,753,1,중흥에스클래스,59.957,202403,9,"52,800",106,6,개인,개인,2003,한라대학로 107,-,중개거래,제주 제주시,24.04.08
1392,제주특별자치도 제주시 일도이동,357-9,357,9,인제네오하임,84.95,202403,8,"34,500",-,5,개인,개인,2013,고마로 71,-,중개거래,제주 제주시,24.06.03
1393,제주특별자치도 제주시 외도일동,496-1,496,1,아름지운아파트,69.8007,202403,8,"25,000",-,8,개인,개인,2016,우정로10길 19,-,직거래,-,24.03.08
1394,제주특별자치도 제주시 일도이동,113,113,0,일도우성1,59.44,202403,8,"32,000",103,1,개인,개인,1995,태성로 3,-,직거래,-,24.03.27
1395,제주특별자치도 제주시 도남동,Jun-72,72,6,아산5차,84.91,202403,8,"20,500",-,1,개인,개인,1997,독짓골2길 19,-,중개거래,제주 제주시,24.03.28
1396,제주특별자치도 제주시 노형동,940-1,940,1,에코피아,124.79,202403,8,"53,500",-,6,개인,개인,2011,노연로 50,-,중개거래,제주 제주시,24.04.01
1397,제주특별자치도 제주시 용담이동,609-68,609,68,남양맨션,67.98,202403,7,"9,700",남양아파트,5,개인,개인,1989,용화로5길 14,-,직거래,-,24.03.07
1398,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.75,202403,7,"56,000",209,2,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,24.04.05
1399,제주특별자치도 제주시 연동,293-13,293,13,시스빌,39.98,202403,7,"10,000",-,9,개인,개인,2004,연동11길 39,-,직거래,-,24.03.14
1400,제주특별자치도 제주시 삼도이동,602-1,602,1,아이린5차,84.72,202403,7,"39,800",-,8,개인,개인,2018,전농로9길 27,-,중개거래,제주 제주시,24.03.22
1401,제주특별자치도 제주시 외도일동,529-1,529,1,해밀마루,46.74,202403,6,"19,000",-,6,개인,개인,2019,우정로15길 48,-,직거래,-,24.04.04
1402,제주특별자치도 제주시 일도이동,409-10,409,10,일도남양,82.33,202403,6,"18,800",-,3,개인,개인,1992,천수로9길 9,-,중개거래,제주 제주시,24.03.25
1403,제주특별자치도 제주시 조천읍 조천리,1361-3,1361,3,대진유토피아빌리지(3차),66.15,202403,6,"15,500",-,6,개인,개인,2017,조천14길 24,-,중개거래,제주 제주시,24.04.08
1404,제주특별자치도 제주시 삼양이동,Jan-42,2142,1,삼화다온펠리스,83.5539,202403,6,"42,000",-,9,개인,개인,2019,지석2길 3,-,중개거래,제주 제주시,24.03.27
